epoch,train_loss,train_acc,val_loss,val_acc
1,2.2203127437773205,0.2674285714285714,1.5456895324918958,0.5177777777777778
2,1.3438376499811808,0.5517142857142857,1.0443697652816772,0.6657777777777778
3,0.9728046637489682,0.6685714285714286,0.8659122126897176,0.72
4,0.7626648461705162,0.7385714285714285,0.7689270990159777,0.748
5,0.6249307988257635,0.7823809523809524,0.7175506660673353,0.7653333333333333
6,0.5162358660697937,0.8178095238095238,0.671775384373135,0.7995555555555556
7,0.43656917293866476,0.8502857142857143,0.6728187397585975,0.7933333333333333
8,0.36690723122301555,0.8750476190476191,0.6602780268457201,0.8057777777777778
9,0.32501273646808804,0.8871428571428571,0.6718240971565247,0.8026666666666666
10,0.2833640925770714,0.9012380952380953,0.6958165221214294,0.7977777777777778
11,0.2247344662461962,0.922952380952381,0.6598396125899421,0.8195555555555556
12,0.20551165814214342,0.9302857142857143,0.6558950121137831,0.8155555555555556
13,0.17510284254096803,0.9407619047619048,0.6734706851111518,0.8195555555555556
14,0.1552342744214194,0.9497142857142857,0.6916077161365085,0.8182222222222222
15,0.1461081724408127,0.952,0.6962114505502913,0.8208888888888889
16,0.14528592629659742,0.95,0.6948010436693828,0.8248888888888889
17,0.14075292609561058,0.9531428571428572,0.7247484756045871,0.8182222222222222
18,0.12249259681609415,0.9585714285714285,0.7555326397154066,0.8173333333333334
19,0.11537965959594364,0.9615238095238096,0.7430742472542656,0.8191111111111111
20,0.11559811420738697,0.9614285714285714,0.7357594860924614,0.8204444444444444
21,0.09134542676664534,0.9695238095238096,0.7500790316793654,0.8253333333333334
22,0.08850242956195559,0.972,0.7567562838660347,0.8248888888888889
23,0.08538170184266,0.9732380952380952,0.7603436873224046,0.8271111111111111
24,0.07707882128939741,0.9747619047619047,0.7762074531449212,0.8235555555555556
25,0.07288690320366904,0.9769523809523809,0.7738368906974793,0.8231111111111111
26,0.06850182509422302,0.98,0.789830574300554,0.8315555555555556
27,0.07002442803837004,0.9782857142857143,0.8032322167290582,0.8288888888888889
28,0.06377994364216213,0.9794285714285714,0.8179615657064649,0.8275555555555556
29,0.0677190665911351,0.9781904761904762,0.828360034942627,0.828
30,0.06339512278583079,0.9791428571428571,0.8365413623915778,0.828
31,0.06121553967595987,0.9811428571428571,0.8320486053360833,0.8266666666666667
32,0.05776029465737797,0.982,0.836392290963067,0.828
33,0.05682842928951695,0.9829523809523809,0.8290227041774326,0.8288888888888889
34,0.048349891962328306,0.9865714285714285,0.8399538896348742,0.832
35,0.049478925029436745,0.9851428571428571,0.8403923270967272,0.8235555555555556
36,0.05298862048650959,0.9838095238095238,0.8515647206836277,0.824
37,0.05193149899868738,0.9853333333333333,0.8625287306573656,0.8284444444444444
38,0.05147306543801512,0.9829523809523809,0.8597287236849467,0.8266666666666667
39,0.051832928538566365,0.9838095238095238,0.8547837578455607,0.8271111111111111
40,0.04759314364709315,0.9862857142857143,0.8554254872004191,0.8293333333333334
