epoch,train_loss,train_acc,val_loss,val_acc
1,2.3550154421670095,0.23895238095238094,1.6408061095343696,0.5208888888888888
2,1.3124314353011903,0.5705714285714286,1.083850111749437,0.6413333333333333
3,0.8457708765438625,0.7126666666666667,0.5828270163271162,0.8128888888888889
4,0.6119568889141083,0.7887619047619048,0.4218740699821048,0.8693333333333333
5,0.4693999951226371,0.8398095238095238,0.33538057336542343,0.9
6,0.3863343058994838,0.8694285714285714,0.30296746446026696,0.9097777777777778
7,0.3446569649719057,0.8814285714285715,0.25701688725418514,0.9257777777777778
8,0.29546216963302524,0.9004761904761904,0.23266134903828303,0.9333333333333333
9,0.27141653281450273,0.9086666666666666,0.23848866552114487,0.9257777777777778
10,0.23120966282912664,0.9237142857142857,0.2019630401134491,0.9413333333333334
11,0.19838207388988563,0.9355238095238095,0.1913896043035719,0.944
12,0.1844643299215074,0.9411428571428572,0.18234940391116672,0.9448888888888889
13,0.18283520857493082,0.9376190476190476,0.1862618824177318,0.9493333333333334
14,0.1649218923974605,0.9437142857142857,0.18110038526852926,0.9488888888888889
15,0.16269508781106698,0.9455238095238095,0.17266056731012133,0.9511111111111111
16,0.15797467414538066,0.9474285714285714,0.17857924742168851,0.9457777777777778
17,0.14929578007970537,0.9523809523809523,0.17665425471464793,0.9471111111111111
18,0.15044933331154642,0.9523809523809523,0.16895343568589952,0.9551111111111111
19,0.1370835830654417,0.9547619047619048,0.16605429906315275,0.9551111111111111
20,0.13181567307880945,0.9557142857142857,0.1701495709485478,0.9537777777777777
