epoch,train_loss,train_acc,val_loss,val_acc
1,0.5575233084406171,0.7092,0.45426779476801554,0.7816
2,0.43097246497358593,0.8009142857142857,0.40152838829358417,0.8174666666666667
3,0.3710046428339822,0.8356,0.4068037868499756,0.8096
4,0.326769674721786,0.8604,0.3806637883981069,0.8462666666666666
5,0.29569169834000725,0.8741714285714286,0.34334584382375083,0.8510666666666666
6,0.269107789845126,0.8886857142857143,0.34739802314837775,0.8606666666666667
7,0.24723513167415345,0.9000571428571429,0.3436322921593984,0.858
8,0.22901013183849198,0.9072571428571429,0.4076802561998367,0.8476
9,0.21546184027280127,0.9134,0.3746129196763039,0.8582666666666666
10,0.20286473240596908,0.9188571428571428,0.41314384939273197,0.8437333333333333
11,0.1503328839983259,0.943,0.3730026105205218,0.8621333333333333
12,0.12719094185541782,0.9531428571428572,0.41780075841148695,0.8609333333333333
13,0.10911097480420555,0.9596857142857143,0.496123413909475,0.8588
14,0.09746016856634192,0.9636571428571429,0.4970910108173887,0.8576
15,0.0888031505077013,0.9679142857142857,0.4888602431977789,0.8616
16,0.08158796538918146,0.9703714285714286,0.530338822145015,0.8597333333333333
17,0.07681182141554142,0.9731714285714286,0.5350908646365007,0.8588
18,0.07242979199806494,0.9739428571428571,0.5318807262758414,0.8602666666666666
19,0.06754919760916382,0.9754,0.5321377943669756,0.8594666666666667
20,0.06938449403755367,0.9753714285714286,0.5450000468845169,0.8557333333333333
